TITLE,title
SUB_TITLE,field_sub_title
TYPE,field_type
PROJECT_PLANNER_CONTACT,field_project_planner_contact
COMMUNITY_PLAN_AREA,field_community_plan_area_s_
AREA_PLANNING_COMMISSION,field_area_planning_commission_s
COUNCIL_DISTRICT,field_council_district_s_
DESIGN_REVIEW_BOARD,field_design_review_board_drb_
DETAIL,body
