id,date,primary_case,Address,council_district,case_number,mnd,publication
36,2001-12-06,ENV-2001-1848,3510 West 6th St.;Wilshire,CD10,ENV-2001-1848,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
37,2001-12-06,ENV-2001-4269,10305-10315 Almayo Ave.;West Los Angeles,CD5,ENV-2001-4269,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
38,2001-12-06,ENV-2001-4410,2186 Saticoy St.;Canoga Park-Winnetka-Woodland Hills,CD3,ENV-2001-4410,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
39,2001-12-06,ENV-2001-4458,3411 Tareco Dr.;Hollywood,CD4,ENV-2001-4458,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
40,2001-12-06,ENV-2001-4466,18300 Burbank Blvd.;Encino-Tarzana,CD3,ENV-2001-4466,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
41,2001-12-06,ENV-2001-4662,6551 North Lankershim Blvd.;North Hollywood,CD2,ENV-2001-4662,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
42,2001-12-06,ENV-2001-4681,Alvarado St.& Hoover St.;West lake,CD1,ENV-2001-4681,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
43,2001-12-06,ENV-2001-4708,15451-15443 Ventura Blvd.;Encino-Tarazana,CD11,ENV-2001-4708,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
44,2001-12-06,ENV-2001-5070,850 Venice Blvd.;West Lake,CD1,ENV-2001-5070,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
45,2001-12-06,ENV-2001-5179,659 South Westmoreland Ave.;Wilshire,CD10,ENV-2001-5179,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
46,2001-12-06,ENV-2001-5255,13452 1/2 Sumatra Dr.; Sherman Oaks-Studio City-Toluca Lake,CD5,ENV-2001-5255,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
47,2001-12-06,ENV-2001-5256,13268 1/2 Mulholland Dr.; Bel Air-Beverly Crest,CD5,ENV-2001-5256,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
48,2001-12-06,ENV-2001-5298,12731 1/2 Mulholland Dr.; Sherman Oaks-Studio City-Toluca Lake,CD5,ENV-2001-5298,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
49,2001-12-06,ENV-2001-5299,7737 1/2 Mulholland Dr.; Sherman Oaks-Studio City-Toluca Lake,CD4,ENV-2001-5299,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
50,2001-12-06,ENV-2001-5300,7548 1/2 Mulholland ; Hollywood,CD4,ENV-2001-5300,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
51,2001-12-06,ENV-2001-5301,21922 1/2 Mulholland Dr.; Canoga Park-Winnetka-Woodland Hills-West Hills,CD11,ENV-2001-5301,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
52,2001-12-06,ENV-2001-5304,13724 1/2 Mulholland Dr.; Bel Air-Beverly Crest,CD5,ENV-2001-5304,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
53,2001-12-06,ENV-2001-5327,8950 1/2 Mulholland Dr.; Bel Air-Beverly Crest,CD5,ENV-2001-5327,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
54,2001-12-06,ENV-2001-5419,12421 1/2 Mulholland Dr.; Sherman Oaks-Studio City-Toluca Lake,CD5,ENV-2001-5419,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
55,2001-12-06,ENV-2001-5468,14100 Mulholland Dr.; Bel Air-Beverly Crest,CD5,ENV-2001-5468,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
56,2001-12-06,ENV-2001-5487,15501 1/2 Mulholland Dr.; Sherman Oaks-Studio City-Toluca Lake,CD5,ENV-2001-5487,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
57,2001-12-06,ENV-2001-5488,16725 1/2 Mulholland Dr.; Encino-Tarzana,CD11,ENV-2001-5488,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
58,2001-12-06,ENV-2001-5489,16250 1/2 Mulholland Dr.; Brentwood-Pacific Palisades,CD11,ENV-2001-5489,,https//planning.lacity.org/eir/publication/Pub_120601.htm#
59,2001-11-29,ENV-2001-4276,7925 Ventura Canyon Ave.; Mission Hills-Panorama City-Sepulveda,CD2,ENV-2001-4276,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4276
60,2001-11-29,ENV-2001-4287,366 E. 2nd st.; Central City Los Angeles,CD9,ENV-2001-4287,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4287
61,2001-11-29,ENV-2001-4409,14415 Plummer St.; Mission Hills-Panorama City- Sepulveda,CD2,ENV-2001-4409,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4409
62,2001-11-29,ENV-2001-4793,18551 & 18555 Parthenia St.; Northridge,CD12,ENV-2001-4793,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4793
63,2001-11-29,ENV-2001-4890,17263 Nordhoff St.; Northridge,CD12,ENV-2001-4890,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4890
64,2001-11-29,ENV-2001-4906,Ventura Blvd.; Encino-Tarzana,CD11,ENV-2001-4906,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4906
65,2001-11-29,ENV-2001-4945,1905 S.Victoria Ave.; West Adams-Baldwin Hills-Leimert,CD10,ENV-2001-4945,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4945
66,2001-11-29,ENV-2001-4961,5353 Pico Blvd.; Wilshire,CD10,ENV-2001-4961,,https//planning.lacity.org/eir/publication/Pub_112901.htm#4961
67,2001-11-29,ENV-2001-5081,8255-61 Woodman Ave.;Mission Hills-Panorama City-Sepulveda,CD2,ENV-2001-5081,,https//planning.lacity.org/eir/publication/Pub_112901.htm#5081
68,2001-11-22,ENV-2001-3157,9148 Cedros Ave; Mission Hills-Panorama City-Sepulveda,CD7,ENV-2001-3157,,https//planning.lacity.org/eir/publication/Pub_112201.htm#3157
69,2001-11-22,ENV-2001-3396,1925 Wilshire Blvd; Westlake,CD1,ENV-2001-3396,,https//planning.lacity.org/eir/publication/Pub_112201.htm#3396
70,2001-11-22,ENV-2001-4027,2000 Ave of the Stars; West Los Angeles,CD5,ENV-2001-4027,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4027
71,2001-11-22,ENV-2001-4111,6336-42 Woodman Ave; Van Nuys-North Sherman Oaks,CD5,ENV-2001-4111,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4111
72,2001-11-22,ENV-2001-4223,340 E. Opp Street; Wilmington-Harbor City,CD15,ENV-2001-4223,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4223
73,2001-11-22,ENV-2001-4452,15214 Earlha Street; Brentwood-Pacific Palisades,CD11,ENV-2001-4452,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4452
74,2001-11-22,ENV-2001-4481,6150 Laurel Canyon Blvd; North Hollywood,CD2,ENV-2001-4481,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4481
75,2001-11-22,ENV-2001-4502,7541 N. Laurel Canyon Blvd; North Hollywood,CD2,ENV-2001-4502,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4502
76,2001-11-22,ENV-2001-4557,6714 Hollywood Blvd; Hollywood,CD13,ENV-2001-4557,,https//planning.lacity.org/eir/publication/Pub_112201.htm#4557
77,2001-11-22,ENV-2001-5106,2617 N. Laurel Pass Ave; Bel Air-Beverly Crest,CD5,ENV-2001-5106,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5106
78,2001-11-22,ENV-2001-5108,3718 1/2 Beverly Glen Blvd; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5108,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5108
79,2001-11-22,ENV-2001-5109,3506 1/2 Beverly Glen Blvd; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5109,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5109
80,2001-11-22,ENV-2001-5110,3202 1/2 Canyon Ave; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5110,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5110
81,2001-11-22,ENV-2001-5111,3508 1/2 Coldwater Canyon Ave; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5111,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5111
82,2001-11-22,ENV-2001-5112,3193 1/2 Laurel Canyon Blvd; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5112,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5112
83,2001-11-22,ENV-2001-5113,11210 1/2 Briarcliff Lane; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5113,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5113
84,2001-11-22,ENV-2001-5114,3533 1/2 Oakfield Drive; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5114,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5114
85,2001-11-22,ENV-2001-5115,2838 1/2 Montcalm Ave; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5115,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5115
86,2001-11-22,ENV-2001-5116,3004 1/2 Benedict Canyon Drive; Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,CD5,ENV-2001-5116,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5116
87,2001-11-22,ENV-2001-5119,2705 1/2 Benedict Canyon Drive; Bel Air-Beverly Crest,CD5,ENV-2001-5119,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5119
88,2001-11-22,ENV-2001-5120,8100 1/2 Willow Glen Road; Hollywood,CD4,ENV-2001-5120,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5120
89,2001-11-22,ENV-2001-5123,2465 1/2 Bowmont Drive; Bel Air-Beverly Crest,CD5,ENV-2001-5123,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5123
90,2001-11-22,ENV-2001-5124,7674 1/2 Woodrow Wilson Drive; Hollywood,CD4,ENV-2001-5124,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5124
91,2001-11-22,ENV-2001-5143,2220 Hyperion Ave; Silverlake-Echo Park,CD4,ENV-2001-5143,,https//planning.lacity.org/eir/publication/Pub_112201.htm#5143
92,2001-11-15,ENV-2001-2725,13618-20 Ventura Blvd; Sherman Oaks-Studio City-Toluca Lake,CD5,ENV-2001-2725,,https//planning.lacity.org/eir/publication/Pub_111501.htm#2725
93,2001-11-15,ENV-2001-3580,13418 Osborne Street; Arleta-Pacoima,CD2,ENV-2001-3580,,https//planning.lacity.org/eir/publication/Pub_111501.htm#3580
94,2001-11-15,ENV-2001-3840,10889 & 10899 Wilshire Boulevard; Westwood,CD5,ENV-2001-3840,,https//planning.lacity.org/eir/publication/Pub_111501.htm#3840
95,2001-11-15,ENV-2001-3941,213 North Laurel Canyon Boulevard; North Hollywood,CD7,ENV-2001-3941,,https//planning.lacity.org/eir/publication/Pub_111501.htm#3941
96,2001-11-15,ENV-2001-3956,605 W. Olympic Blvd; Central City Los Angeles,CD9,ENV-2001-3956,,https//planning.lacity.org/eir/publication/Pub_111501.htm#3956
97,2001-11-15,ENV-2001-4088,420 S. Witmer Street; Westlake,CD1,ENV-2001-4088,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4088
98,2001-11-15,ENV-2001-4106,11600 Ventura Blvd; Sherman Oaks-Studio City-Toluca Lake,CD2,ENV-2001-4106,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4106
99,2001-11-15,ENV-2001-4170,4650 Franklin Ave; Hollywood,CD4,ENV-2001-4170,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4170
100,2001-11-15,ENV-2001-4208,5726 & 5710 Fallbrook Avenue; Canoga Park-Winnetka-Woodland Hills-West Hills,CD3,ENV-2001-4208,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4208
101,2001-11-15,ENV-2001-4221,366 W. El Sereno Street; Northeast Los Angeles,CD1,ENV-2001-4221,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4221
102,2001-11-15,ENV-2001-4295,5358 Wilshire Blvd; Wilshire,CD4,ENV-2001-4295,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4295
